iter	Passed	Remaining
0	57	57157
1	57	28677
2	57	19177
3	57	14427
4	58	11575
5	58	9678
6	58	8318
7	58	7298
8	59	6504
9	59	5869
10	59	5351
11	59	4918
12	59	4552
13	60	4239
14	60	3970
15	60	3732
16	60	3523
17	61	3336
18	61	3169
19	61	3019
20	61	2883
21	62	2759
22	62	2646
23	62	2543
24	62	2448
25	63	2361
26	63	2280
27	63	2206
28	63	2135
29	63	2068
30	64	2006
31	64	1948
32	64	1893
33	64	1843
34	65	1797
35	65	1751
36	65	1708
37	65	1667
38	66	1633
39	66	1599
40	66	1564
41	67	1530
42	67	1498
43	67	1466
44	67	1436
45	67	1409
46	68	1382
47	68	1356
48	68	1332
49	68	1308
50	69	1285
51	69	1263
52	69	1243
53	69	1222
54	70	1203
55	70	1184
56	70	1166
57	70	1147
58	70	1130
59	71	1113
60	71	1097
61	71	1082
62	71	1067
63	71	1052
64	72	1038
65	72	1024
66	72	1011
67	72	997
68	72	984
69	73	972
70	73	960
71	73	948
72	73	936
73	73	925
74	74	914
75	74	904
76	74	893
77	74	883
78	74	874
79	75	865
80	75	855
81	75	846
82	75	836
83	75	827
84	76	819
85	76	811
86	76	803
87	76	795
88	76	787
89	77	779
90	77	772
91	77	765
92	77	758
93	77	751
94	78	744
95	78	738
96	78	732
97	78	725
98	79	720
99	79	714
100	79	708
101	79	702
102	79	696
103	80	691
104	80	685
105	80	679
106	80	674
107	80	668
108	81	663
109	81	658
110	81	653
111	81	648
112	81	643
113	82	638
114	82	633
115	82	628
116	82	623
117	82	619
118	83	614
119	83	610
120	83	606
121	83	601
122	83	597
123	84	593
124	84	589
125	84	585
126	84	581
127	84	577
128	84	573
129	85	570
130	85	566
131	85	563
132	85	559
133	86	556
134	86	552
135	86	549
136	86	545
137	86	542
138	87	539
139	87	536
140	87	532
141	87	528
142	87	525
143	87	522
144	88	519
145	88	516
146	88	513
147	88	510
148	88	507
149	89	505
150	89	502
151	89	499
152	89	497
153	89	494
154	90	491
155	90	488
156	90	486
157	90	483
158	91	481
159	91	479
160	91	476
161	91	473
162	91	471
163	91	468
164	92	466
165	92	464
166	92	462
167	92	459
168	93	457
169	93	455
170	93	453
171	93	451
172	93	449
173	94	447
174	94	445
175	94	442
176	94	440
177	95	438
178	95	436
179	95	434
180	95	432
181	95	430
182	96	428
183	96	426
184	96	424
185	96	422
186	96	420
187	97	419
188	97	417
189	97	415
190	97	413
191	97	411
192	97	409
193	98	408
194	98	406
195	98	404
196	98	402
197	99	401
198	99	399
199	99	397
200	99	396
201	99	394
202	100	393
203	100	391
204	100	389
205	100	388
206	100	386
207	101	385
208	101	384
209	101	382
210	101	381
211	102	379
212	102	378
213	102	376
214	102	375
215	102	373
216	103	372
217	103	370
218	103	369
219	103	367
220	103	366
221	104	365
222	104	363
223	104	362
224	104	360
225	104	359
226	105	358
227	105	356
228	105	355
229	105	353
230	105	352
231	106	351
232	106	349
233	106	348
234	106	347
235	106	346
236	107	344
237	107	343
238	107	342
239	107	340
240	107	339
241	108	338
242	108	337
243	108	336
244	108	334
245	108	333
246	109	332
247	109	331
248	109	330
249	109	329
250	109	327
251	110	326
252	110	325
253	110	324
254	110	323
255	110	322
256	111	321
257	111	319
258	111	318
259	111	317
260	111	316
261	112	315
262	112	314
263	112	313
264	112	312
265	112	311
266	113	310
267	113	309
268	113	308
269	113	307
270	113	306
271	114	305
272	114	304
273	114	303
274	114	302
275	114	301
276	115	300
