iter	RMSE
0	14.35382835
1	13.42559201
2	12.6125048
3	11.86265513
4	11.13647277
5	10.54948919
6	10.04461345
7	9.599822944
8	9.188694972
9	8.753127914
10	8.350625935
11	8.009286684
12	7.742008973
13	7.4776674
14	7.247813831
15	7.052518736
16	6.843105805
17	6.689544966
18	6.527546096
19	6.399191885
20	6.289548078
21	6.189674887
22	6.095790607
23	6.008518829
24	5.929192186
25	5.858711816
26	5.785176923
27	5.732901264
28	5.681245206
29	5.632815563
30	5.587710153
31	5.552854713
32	5.511217051
33	5.473823464
34	5.452585387
35	5.419081188
36	5.392460733
37	5.374860223
38	5.348315198
39	5.324629637
40	5.307538033
41	5.289474478
42	5.270678025
43	5.254149528
44	5.236265737
45	5.218167757
46	5.199763081
47	5.186909275
48	5.166449938
49	5.148176333
50	5.133052834
51	5.12361469
52	5.121816677
53	5.11261158
54	5.104156518
55	5.087342159
56	5.080179372
57	5.064267461
58	5.055599423
59	5.043039717
60	5.018474814
61	5.004591328
62	4.993603624
63	4.984109703
64	4.978474148
65	4.970484354
66	4.95923943
67	4.946026319
68	4.939601235
69	4.921987471
70	4.908302998
71	4.90504262
72	4.887065189
73	4.879002986
74	4.866442695
75	4.853603584
76	4.84684822
77	4.843549067
78	4.834117501
79	4.829192621
80	4.822580547
81	4.816863808
82	4.813818028
83	4.806343059
84	4.800224603
85	4.794195567
86	4.78498699
87	4.776800162
88	4.761386325
89	4.752519771
90	4.747249004
91	4.730064794
92	4.726368254
93	4.717388392
94	4.709746901
95	4.703907259
96	4.69206512
97	4.687132701
98	4.675818716
99	4.660087826
