iter	Passed	Remaining
0	0	21
1	0	20
2	0	19
3	0	20
4	1	21
5	1	21
6	1	20
7	1	20
8	1	20
9	2	19
10	2	19
11	2	19
12	2	18
13	3	18
14	3	18
15	3	18
16	3	18
17	4	18
18	4	18
19	4	17
20	4	17
21	4	17
22	5	16
23	5	16
24	5	16
25	5	15
26	5	15
27	6	15
28	6	15
29	6	14
30	6	14
31	6	14
32	6	14
33	7	14
34	7	13
35	7	13
36	7	13
37	8	13
38	8	12
39	8	12
40	8	12
41	8	12
42	8	11
43	9	11
44	9	11
45	9	11
46	9	11
47	9	10
48	10	10
49	10	10
50	10	10
51	10	10
52	10	9
53	11	9
54	11	9
55	11	9
56	11	8
57	12	8
58	12	8
59	12	8
60	12	8
61	12	7
62	13	7
63	13	7
64	13	7
65	13	7
66	13	6
67	14	6
68	14	6
69	14	6
70	14	5
71	14	5
72	15	5
73	15	5
74	15	5
75	15	4
76	15	4
77	16	4
78	16	4
79	16	4
80	16	3
81	16	3
82	16	3
83	17	3
84	17	3
85	17	2
86	17	2
87	17	2
88	18	2
89	18	2
90	18	1
91	18	1
92	18	1
93	19	1
94	19	1
95	19	0
96	19	0
97	19	0
98	20	0
99	20	0
